Time,Pressure,Temperature,Humidity
314721,100539,1664,3628
315062,100544,1667,3632
315403,100541,1668,3628
315745,100537,1670,3625
316089,100538,1675,3622
316431,100536,1677,3619
316775,100537,1678,3627
317119,100534,1678,3629
317461,100533,1679,3632
317818,100534,1681,3644
318180,100536,1681,3665
318527,100537,1681,3682
318879,100537,1683,3703
319220,100540,1685,3714
319565,100542,1686,3720
319928,100543,1687,3724
320270,100541,1690,3727
320612,100541,1693,3730
320953,100541,1694,3733
321296,100541,1695,3737
321646,100542,1698,3737
321989,100540,1695,3737
322329,100543,1694,3733
322669,100538,1695,3732
323012,100542,1699,3731
323353,100539,1702,3730
323695,100542,1706,3729
324036,100541,1709,3729
324631,100540,1712,3719
324972,100541,1714,3697
325313,100540,1715,3677
325657,100539,1717,3664
325998,100539,1718,3647
326339,100540,1719,3625
326680,100538,1717,3601
327020,100540,1715,3586
327360,100541,1716,3577
327700,100540,1718,3570
328040,100540,1720,3565
328380,100544,1721,3557
328721,100543,1721,3554
329061,100540,1724,3556
329401,100540,1724,3559
329741,100546,1727,3566
330081,100542,1729,3573
330421,100544,1733,3588
330761,100540,1734,3602
331101,100538,1732,3619
331441,100542,1732,3628
331781,100541,1735,3632
332121,100543,1737,3611
332461,100542,1740,3631
332802,100538,1743,3634
333143,100537,1745,3628
333484,100540,1744,3610
333825,100537,1740,3582
334166,100542,1739,3565
334507,100536,1742,3554
334848,100534,1745,3549
335188,100537,1748,3542
335529,100535,1751,3539
335872,100531,1753,3548
336384,100511,1737,3540
336724,100534,1746,3533
337065,100529,1749,3529
337406,100535,1750,3523
337747,100534,1750,3514
338088,100532,1749,3509
338430,100532,1749,3507
338772,100533,1751,3507
339115,100538,1753,3504
339456,100528,1751,3491
339798,100527,1752,3478
340140,100530,1752,3471
340481,100533,1754,3464
340823,100531,1756,3456
341165,100530,1759,3445
341506,100531,1762,3441
341847,100534,1764,3434
342189,100530,1761,3433
342530,100530,1761,3430
342871,100527,1754,3426
343212,100532,1759,3419
343553,100533,1762,3412
343895,100528,1764,3406
344236,100528,1768,3402
344577,100528,1770,3387
344919,100527,1770,3378
345261,100522,1770,3374
345603,100520,1770,3372
345603,100520,1770,3372
346030,100533,1770,3377
346373,100533,1767,3377
346713,100528,1765,3383
347224,100531,1760,3395
347565,100529,1761,3398
347906,100533,1765,3402
348247,100533,1770,3402
348588,100526,1770,3399
348929,100528,1770,3395
349270,100533,1770,3393
349612,100533,1768,3394
349953,100534,1765,3396
350294,100535,1768,3395
350635,100535,1773,3394
351085,100538,1777,3392
351425,100537,1779,3392
351765,100534,1782,3394
352105,100537,1779,3403
352445,100536,1779,3418
352785,100543,1779,3430
353125,100541,1779,3419
353465,100541,1778,3449
353806,100538,1777,3465
354146,100542,1779,3492
354487,100541,1779,3515
354829,100540,1781,3535
355170,100541,1782,3553
355511,100543,1785,3559
356021,100540,1787,3547
356373,100543,1781,3523
356714,100540,1776,3512
357056,100540,1774,3497
357397,100539,1770,3488
357738,100542,1771,3483
358079,100541,1774,3477
358420,100539,1776,3469
358761,100540,1779,3470
359186,100538,1781,3475
359527,100536,1785,3481
359868,100541,1787,3482
360209,100539,1791,3480
360550,100540,1795,3477
360891,100541,1795,3475
361232,100542,1795,3471
361572,100543,1798,3469
361912,100545,1801,3466
362252,100540,1799,3460
362593,100545,1801,3471
362934,100544,1802,3482
363275,100543,1804,3498
363617,100544,1806,3505
363958,100548,1807,3484
364299,100543,1804,3452
364639,100547,1799,3420
364979,100548,1795,3405
365489,100545,1795,3403
365829,100543,1799,3408
366169,100545,1804,3410
366509,100547,1807,3410
366850,100544,1811,3412
367191,100544,1812,3407
367532,100543,1814,3409
367873,100543,1815,3404
368299,100543,1818,3397
368640,100541,1820,3393
368980,100541,1820,3387
369321,100543,1824,3384
369662,100537,1824,3364
370004,100534,1825,3390
370345,100542,1827,3397
370686,100540,1828,3403
371027,100542,1829,3408
371368,100540,1829,3411
371800,100539,1834,3412
372141,100537,1835,3420
372482,100535,1836,3424
372824,100530,1839,3426
373165,100534,1844,3430
373506,100528,1845,3428
373847,100523,1845,3427
374188,100528,1851,3425
374529,100518,1848,3425
374870,100524,1857,3424
375211,100526,1859,3424
375552,100526,1862,3425
375892,100521,1862,3426
376233,100527,1867,3432
376574,100520,1868,3428
376915,100522,1869,3424
377256,100518,1870,3424
377597,100517,1873,3418
377938,100521,1875,3400
378279,100519,1875,3392
378620,100520,1878,3382
378961,100521,1879,3378
379302,100518,1882,3373
379644,100515,1884,3368
379985,100515,1884,3361
380326,100520,1886,3360
380667,100512,1885,3352
381008,100510,1886,3326
381349,100519,1886,3320
381692,100517,1887,3307
382034,100518,1890,3293
382375,100518,1891,3274
382717,100523,1892,3250
383058,100524,1891,3230
383399,100524,1890,3209
383740,100525,1886,3198
384081,100527,1882,3195
384422,100527,1879,3201
384763,100525,1877,3199
385104,100524,1878,3193
385445,100521,1883,3189
385786,100519,1887,3181
386127,100512,1889,3171
386468,100518,1892,3166
386809,100519,1886,3147
387150,100512,1879,3133
387491,100508,1882,3120
387832,100510,1886,3113
388173,100515,1890,3111
388514,100512,1892,3107
388855,100511,1894,3106
389196,100518,1895,3107
389536,100514,1898,3105
389876,100518,1900,3108
390216,100515,1895,3110
390556,100517,1895,3113
390896,100518,1898,3115
391406,100518,1899,3120
391746,100519,1895,3129
392086,100518,1889,3099
392426,100521,1887,3136
392766,100520,1886,3135
393106,100515,1879,3123
393446,100515,1879,3120
393786,100517,1882,3119
394126,100512,1885,3122
394466,100509,1886,3131
394806,100510,1889,3140
395146,100509,1890,3143
395486,100517,1892,3145
395826,100511,1892,3148
396166,100511,1893,3154
396506,100513,1892,3160
396846,100524,1887,3168
397188,100517,1889,3175
397528,100518,1890,3180
397869,100516,1891,3181
398210,100507,1891,3175
398551,100510,1889,3164
398892,100512,1890,3151
399233,100510,1891,3141
399574,100510,1889,3103
399915,100510,1884,3117
400256,100513,1878,3111
400596,100518,1876,3101
400937,100520,1877,3089
401278,100517,1879,3081
401625,100515,1873,3071
401965,100520,1868,3067
402306,100524,1866,3063
402647,100524,1862,3059
402988,100527,1862,3058
403329,100528,1860,3059
403670,100529,1857,3062
404011,100533,1857,3064
404352,100533,1854,3062
404692,100538,1846,3062
405033,100535,1840,3071
405460,100518,1826,3077
405801,100536,1837,3081
406142,100539,1839,3085
406483,100538,1841,3088
406824,100533,1839,3089
407165,100541,1846,3092
407506,100541,1849,3098
407847,100540,1852,3110
408188,100524,1844,3131
408529,100533,1852,3155
408870,100543,1857,3173
409211,100540,1858,3186
409552,100540,1859,3198
409893,100538,1860,3207
410234,100540,1862,3210
410575,100539,1864,3191
411001,100540,1866,3247
411342,100539,1867,3266
411687,100540,1868,3266
412028,100538,1870,3275
412369,100544,1870,3276
412710,100540,1869,3276
413051,100542,1870,3278
413392,100541,1869,3277
413733,100546,1866,3259
414074,100543,1864,3245
414415,100543,1864,3239
414756,100542,1866,3228
415097,100544,1867,3217
415438,100543,1869,3212
415779,100543,1871,3212
416120,100543,1873,3211
416461,100544,1871,3211
416802,100543,1871,3216
417143,100544,1874,3224
417484,100542,1874,3234
417824,100544,1874,3243
418249,100543,1874,3245
418590,100547,1873,3232
418930,100544,1871,3225
419270,100546,1873,3223
419610,100538,1868,3223
419950,100529,1865,3222
420290,100543,1873,3221
420715,100543,1873,3219
421055,100544,1868,3222
421395,100546,1867,3233
421735,100544,1864,3241
422075,100541,1865,3243
422415,100544,1862,3244
422755,100542,1861,3244
423095,100546,1859,3242
423435,100545,1857,3246
423775,100543,1856,3251
424115,100542,1856,3258
424455,100540,1853,3234
424795,100544,1852,3214
425135,100541,1850,3207
425475,100540,1848,3208
425901,100544,1844,3188
426242,100538,1844,3168
426668,100540,1843,3163
427009,100535,1840,3158
427350,100537,1840,3148
427691,100520,1828,3141
428032,100538,1837,3130
428372,100539,1837,3120
428713,100537,1836,3104
429054,100542,1834,3095
429395,100536,1827,3089
429736,100516,1814,3083
430077,100537,1820,3074
430418,100538,1819,3068
430759,100534,1818,3064
431100,100533,1816,3060
431441,100529,1812,3054
431782,100532,1808,3047
432123,100530,1804,3043
432464,100531,1808,3043
432805,100532,1809,3044
433146,100526,1808,3044
433487,100532,1804,3049
433828,100530,1799,3054
434169,100539,1798,3061
434510,100531,1795,3067
434851,100529,1795,3070
435192,100533,1795,3069
435533,100530,1795,3069
435874,100533,1795,3080
436215,100534,1795,3093
436556,100535,1798,3102
436896,100540,1798,3108
437236,100542,1796,3109
437576,100543,1796,3112
437916,100544,1792,3116
438256,100545,1786,3134
438596,100545,1779,3156
438936,100545,1776,3163
439276,100549,1778,3171
439616,100543,1781,3192
439956,100542,1783,3217
440296,100543,1784,3220
440636,100544,1786,3219
440976,100541,1787,3218
441316,100542,1787,3224
441656,100539,1786,3223
441996,100545,1786,3226
442336,100546,1785,3217
442676,100546,1784,3206
443016,100545,1784,3195
443356,100541,1784,3183
443696,100544,1784,3176
444036,100541,1784,3168
444376,100542,1783,3160
444717,100543,1781,3150
445058,100545,1782,3141
445399,100544,1781,3137
445740,100540,1781,3132
446081,100538,1779,3130
446507,100539,1782,3131
446851,100542,1781,3136
447192,100545,1779,3136
447533,100547,1779,3138
447874,100546,1777,3140
448215,100548,1776,3138
448556,100548,1771,3139
448897,100544,1770,3137
449238,100521,1757,3137
449579,100547,1773,3133
449920,100547,1773,3136
450260,100534,1766,3133
450601,100527,1762,3144
450942,100546,1771,3152
451283,100549,1773,3162
451624,100545,1770,3174
451965,100549,1770,3193
452306,100545,1770,3210
452647,100545,1771,3236
452988,100548,1773,3252
453329,100545,1773,3261
453670,100546,1774,3269
454011,100545,1774,3281
454352,100544,1774,3290
454693,100547,1775,3295
455034,100547,1774,3277
455375,100543,1774,3299
455716,100546,1774,3306
456057,100544,1773,3339
456398,100544,1774,3344
456739,100545,1773,3327
457080,100543,1770,3351
457421,100544,1768,3350
457762,100547,1769,3346
458103,100544,1769,3338
458444,100548,1770,3330
458784,100545,1770,3326
459125,100544,1771,3328
459465,100545,1770,3332
459805,100545,1770,3337
460145,100546,1769,3353
460485,100548,1766,3360
460825,100541,1765,3360
461165,100542,1766,3361
461590,100542,1766,3359
462016,100548,1767,3356
462356,100531,1754,3350
462696,100545,1767,3349
463036,100545,1766,3345
463376,100548,1767,3342
463716,100549,1767,3338
464056,100550,1767,3335
464396,100547,1766,3336
464736,100547,1766,3353
465076,100549,1767,3334
465416,100551,1769,3334
465756,100550,1767,3338
466096,100550,1767,3331
466436,100551,1767,3322
466776,100554,1767,3292
467117,100552,1766,3264
467458,100551,1768,3239
467799,100552,1767,3218
468140,100554,1767,3204
468481,100553,1767,3191
468822,100552,1767,3183
469163,100555,1767,3176
469675,100555,1767,3166
470016,100552,1766,3162
470356,100553,1766,3161
470697,100549,1766,3157
471038,100551,1767,3174
471379,100548,1766,3151
471721,100549,1767,3150
472062,100544,1765,3147
472403,100549,1767,3148
472744,100550,1768,3145
473085,100550,1768,3144
473426,100545,1766,3144
473768,100547,1766,3143
474109,100549,1767,3142
474450,100545,1767,3143
474792,100550,1767,3141
475134,100548,1767,3141
475475,100552,1767,3141
475817,100548,1768,3141
476244,100551,1768,3142
476587,100550,1768,3141
476930,100547,1767,3141
477359,100548,1768,3140
477785,100542,1767,3142
478126,100545,1768,3139
478467,100545,1767,3140
478808,100546,1768,3138
479149,100545,1767,3140
479490,100541,1767,3139
479831,100545,1768,3137
480172,100544,1768,3134
480514,100544,1768,3133
480855,100546,1768,3102
481197,100545,1768,3131
481539,100546,1768,3132
481882,100548,1768,3129
482222,100547,1768,3131
482734,100548,1768,3131
483077,100546,1768,3130
483417,100549,1768,3130
483758,100547,1768,3149
484100,100549,1769,3129
484441,100547,1770,3129
484781,100551,1769,3129
485122,100550,1770,3128
485464,100550,1769,3128
485805,100547,1768,3127
486146,100552,1770,3129
486657,100551,1770,3127
486999,100550,1770,3126
487340,100552,1770,3127
487681,100553,1770,3125
488022,100551,1770,3126
488363,100549,1770,3126
488704,100552,1770,3124
489044,100556,1770,3123
489387,100553,1770,3123
489728,100553,1770,3123
490068,100553,1771,3123
490411,100555,1771,3122
490753,100553,1770,3123
491095,100553,1771,3122
491439,100553,1771,3122
491779,100554,1771,3121
492205,100552,1770,3120
492631,100556,1771,3121
493057,100551,1770,3120
493398,100552,1771,3120
493739,100553,1771,3119
494080,100552,1771,3117
494422,100552,1771,3119
494764,100552,1773,3118
495106,100553,1773,3117
495447,100553,1771,3117
495789,100548,1771,3116
496130,100554,1773,3117
496471,100550,1773,3117
496813,100551,1773,3116
497154,100551,1773,3117
497496,100552,1773,3116
497922,100548,1771,3115
498263,100552,1773,3115
498604,100553,1774,3114
498945,100551,1774,3115
499286,100551,1773,3114
499627,100551,1774,3114
499970,100549,1774,3114
500311,100549,1774,3114
500652,100546,1774,3114
500994,100545,1775,3114
501335,100544,1775,3113
501676,100548,1774,3108
502017,100493,1775,3104
502358,100484,1775,3100
502699,100474,1775,3095
503040,100455,1775,3094
503380,100420,1775,3105
503721,100413,1775,3127
504062,100414,1775,3133
504403,100391,1774,3122
504744,100369,1774,3115
505085,100362,1776,3106
505426,100353,1775,3098
505767,100335,1775,3094
506109,100320,1776,3094
506450,100298,1775,3117
506791,100271,1775,3136
507235,100253,1776,3151
507575,100247,1776,3161
507915,100236,1777,3166
508257,100217,1777,3163
508598,100204,1777,3154
508938,100183,1778,3149
509278,100152,1776,3141
509618,100125,1776,3138
509959,100109,1778,3147
510299,100097,1778,3154
510665,100073,1778,3161
511006,100066,1778,3167
511346,100072,1778,3170
512443,100010,1779,3142
512783,100001,1779,3154
513123,99963,1779,3153
513463,99972,1779,3162
513803,99958,1777,3169
514143,99937,1779,3174
514483,99919,1778,3176
515495,99878,1779,3173
515836,99874,1781,3176
516177,99849,1779,3178
516518,99836,1781,3179
516864,99823,1781,3181
517210,99809,1782,3182
517551,99798,1782,3184
517891,99769,1782,3187
518402,99751,1783,3190
518743,99740,1783,3192
519084,99716,1783,3196
519425,99692,1783,3197
519766,99690,1784,3200
520107,99691,1784,3198
520448,99682,1785,3197
520875,99663,1785,3197
521216,99637,1786,3196
521558,99614,1785,3197
522671,99567,1786,3205
523011,99559,1786,3211
524044,99521,1787,3202
524384,99511,1787,3200
524724,99489,1787,3201
525064,99480,1787,3203
525404,99472,1787,3201
525744,99465,1787,3195
526084,99450,1789,3192
526424,99426,1787,3192
526765,99412,1789,3186
527106,99403,1790,3185
527447,99391,1787,3192
527788,99382,1789,3195
528129,99369,1789,3187
528470,99353,1790,3180
528811,99340,1790,3180
529152,99332,1791,3185
529492,99320,1791,3181
530091,99313,1792,3176
530432,99317,1791,3181
530772,99314,1792,3182
531113,99312,1792,3175
531454,99315,1793,3175
531795,99310,1792,3179
532136,99309,1793,3178
532477,99299,1792,3177
532818,99303,1792,3178
533159,99296,1793,3179
533586,99292,1794,3177
533927,99298,1794,3178
534268,99296,1795,3181
534609,99296,1795,3178
534950,99295,1795,3176
535291,99290,1795,3180
535632,99286,1795,3181
535973,99290,1795,3178
536314,99289,1795,3179
536655,99282,1795,3181
536996,99271,1796,3178
537337,99270,1795,3179
537678,99284,1796,3180
538019,99269,1796,3178
538445,99271,1796,3179
538956,99274,1798,3179
539296,99260,1798,3179
539636,99272,1795,3178
539976,99279,1798,3179
540316,99267,1798,3178
540656,99287,1801,3179
540996,99282,1800,3179
541336,99285,1801,3180
541676,99280,1799,3179
542016,99290,1801,3181
542356,99281,1801,3180
542696,99279,1801,3174
543141,99296,1800,3164
543482,99335,1787,3143
543823,99342,1779,3122
544165,99380,1777,3101
544506,99421,1773,3078
544847,99446,1766,3062
545188,99482,1761,3052
545529,99515,1758,3044
545870,99547,1753,3037
546211,99592,1752,3034
546552,99630,1749,3033
546894,99668,1746,3035
547235,99701,1743,3026
547576,99740,1736,3023
547917,99786,1729,3020
548258,99829,1725,3017
548600,99869,1720,3013
548941,99912,1716,3009
549282,99952,1712,3008
549623,99992,1711,3007
549964,100027,1709,3006
550304,100080,1704,3007
550644,100119,1701,3009
551071,100169,1694,3014
551497,100221,1686,3032
551837,100249,1681,3045
552177,100293,1681,3059
552517,100323,1679,3077
552942,100366,1676,3098
553282,100399,1673,3115
553622,100415,1669,3140
553962,100452,1667,3165
554302,100485,1665,3187
554642,100509,1661,3210
554982,100535,1660,3227
